Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1656633600000,7.57,7.78,7.49,7.75,668484.13,5124736.59,7.632336
1656640800000,7.76,7.77,7.53,7.53,283729.52,2177996.95,7.65149
1656648000000,7.53,7.6,7.42,7.5,363224.57,2728977.22,7.509965
1656655200000,7.49,7.59,7.37,7.58,434598.93,3244835.24,7.477598
1656662400000,7.58,7.63,7.43,7.46,319977.66,2413518.05,7.530989
1656669600000,7.46,7.48,7.18,7.34,367392.03,2683769.36,7.327083
1656676800000,7.34,7.9,7.26,7.73,1390938.55,10530862.86,7.584605
1656684000000,7.72,7.87,7.54,7.73,840032.56,6478844.16,7.704995
1656691200000,7.72,8.2,7.72,8.05,1092622.3,8733820.13,7.97005
1656698400000,8.05,8.19,8.02,8.17,438869.06,3561485.99,8.104289
1656705600000,8.17,8.38,8.08,8.16,768011.01,6336833.43,8.230018
1656712800000,8.17,8.27,8.06,8.09,430568.42,3513618.27,8.166318
1656720000000,8.1,8.36,8.03,8.19,679687.3,5564100.38,8.195947
1656727200000,8.19,8.27,8.07,8.08,600454.04,4907712.58,8.172863
1656734400000,8.09,8.19,8.03,8.07,221887.43,1798822.55,8.110118
1656741600000,8.07,8.14,7.93,7.97,253057.33,2032140.03,8.035901
1656748800000,7.97,8.18,7.96,8.14,256172.56,2060096.11,8.072632
1656756000000,8.14,8.18,8.03,8.07,225889.92,1830998.34,8.105
1656763200000,8.07,8.2,8.04,8.07,307079.62,2491273.24,8.12
1656770400000,8.06,8.17,8.05,8.16,213902.57,1737197.58,8.11
1656777600000,8.15,8.25,8.09,8.12,446681.3,3644941.51,8.17031
1656784800000,8.12,8.22,8.08,8.13,305867.34,2489465.8,8.150032
1656792000000,8.14,8.2,8.08,8.18,194841.57,1586040.22,8.139429
1656799200000,8.18,8.2,8.05,8.07,158724.61,1288170.94,8.125
1656806400000,8.07,8.09,7.78,7.8,614893.01,4864362.51,7.935
1656813600000,7.79,7.98,7.78,7.96,453846.87,3577821.28,7.881102
1656820800000,7.95,8.17,7.82,7.99,585144.73,4678373.71,7.995082
1656828000000,8.0,8.1,7.94,7.96,150103.45,1202301.9,8.020635
1656835200000,7.96,8.06,7.88,8.04,242326.18,1931957.0,7.968442
1656842400000,8.03,8.2,8.02,8.09,168352.84,1366585.44,8.111429
1656849600000,8.09,8.15,7.83,7.98,396191.93,3154815.59,7.98863
1656856800000,7.99,8.04,7.96,8.01,130431.84,1043261.67,8.0
1656864000000,8.01,8.19,7.99,8.17,162193.26,1317897.64,8.09
1656871200000,8.18,8.31,8.16,8.26,212860.68,1755200.78,8.236148
1656878400000,8.26,8.29,8.13,8.17,149579.96,1227976.52,8.209571
1656885600000,8.17,8.21,8.05,8.09,181820.49,1475742.87,8.13
1656892800000,8.08,8.15,7.97,8.03,196801.95,1584524.91,8.060098
1656900000000,8.02,8.03,7.86,7.95,210520.3,1669345.99,7.943229
1656907200000,7.95,8.04,7.94,8.03,104771.89,836732.9,7.99
1656914400000,8.04,8.12,7.93,8.03,177184.8,1420678.94,8.024993
